         0.69897                  -9.1088821791057140e-01                1.1115196078431374e-03                1.2670868553523477e-03
9.5424250943932487e-01                  -2.4696410206656214e+00                1.2688616032779842e-03                1.2645731278288193e-03
1.1139433523068367e+00                  -3.4428875193225288e+00                1.2649555812003178e-03                1.2644995115772689e-03
1.2304489213782739e+00                  -4.1935391816353231e+00                1.2645725407050212e-03                1.2644915608949949e-03
1.3222192947339193e+00                  -4.7774634651012313e+00                1.2645110948436922e-03                1.2644899866082620e-03
1.3979400086720377e+00                  -5.2549485070164517e+00                1.2644965769713608e-03                1.2644895467866404e-03
1.4623979978989561e+00                  -5.6589911179072763e+00                1.2644921660602694e-03                1.2644893932249796e-03
1.5185139398778875e+00                  -6.0092888005541498e+00                1.2644905682638475e-03                1.2644893305325628e-03
1.5682017240669950e+00                  -6.3185440144264993e+00                1.2644899090482630e-03                1.2644893017932006e-03
1.6127838567197355e+00                  -6.5954287785721428e+00                1.2644896083735067e-03                1.2644892873872973e-03
1.6532125137753437e+00                  -6.8461279811124358e+00                1.2644894598483440e-03                1.2644892796349078e-03
1.6901960800285136e+00                  -7.0752080678718805e+00                1.2644893815574711e-03                1.2644892752149194e-03
1.7242758696007889e+00                  -7.2861367096389849e+00                1.2644893380013777e-03                1.2644892725711500e-03
1.7558748556724915e+00                  -7.4816093117114706e+00                1.2644893126409038e-03                1.2644892709245997e-03
1.7853298350107671e+00                  -7.6637625964676310e+00                1.2644892972884703e-03                1.2644892698630979e-03
1.8129133566428555e+00                  -7.8343190589028744e+00                1.2644892876761220e-03                1.2644892691580376e-03
1.8388490907372552e+00                  -7.9946875522550327e+00                1.2644892814778882e-03                1.2644892686773700e-03
1.8633228601204559e+00                  -8.1460352040201087e+00                1.2644892773760739e-03                1.2644892683420781e-03
1.8864907251724818e+00                  -8.2893396441394867e+00                1.2644892745983290e-03                1.2644892681033849e-03
1.9084850188786497e+00                  -8.4254278499968862e+00                1.2644892726780869e-03                1.2644892679303441e-03
