# m=1, k=39.4784, p=3
# x0=0, v0=1
# t_start=0, t_end=15, h=0.001
#   t          x(t)               v(t)               KE(t)              PE(x(t)) 
0.5600  3.189670461165767e-01  -3.819757794798790e-01  7.295274805463058e-02  4.270472519466717e-01
0.5700  3.149481018138315e-01  -4.216454336451008e-01  8.889243585688253e-02  4.111075641444575e-01
0.5800  3.105376314194862e-01  -4.602671122657747e-01  1.059229073167376e-01  3.940770926846384e-01
0.5900  3.057465201895223e-01  -4.977608350868548e-01  1.238829244731815e-01  3.761170755282270e-01
0.6000  3.005864189539308e-01  -5.340535287027630e-01  1.426065857599365e-01  3.573934142415002e-01
0.6100  2.950696733225774e-01  -5.690793607796224e-01  1.619256594326718e-01  3.380743405687871e-01
0.6200  2.892092498778562e-01  -6.027800083221460e-01  1.816718692164232e-01  3.183281307850517e-01
0.6300  2.830186600167758e-01  -6.351048595164424e-01  2.016790912907000e-01  2.983209087107834e-01
0.6400  2.765118821053660e-01  -6.660111495648295e-01  2.217854256723329e-01  2.782145743291510e-01
0.6500  2.697032825998659e-01  -6.954640317712979e-01  2.418351097437944e-01  2.581648902576816e-01
0.6600  2.626075367725957e-01  -7.234365859228480e-01  2.616802469258531e-01  2.383197530756066e-01
0.6700  2.552395496562963e-01  -7.499097667308763e-01  2.811823291191786e-01  2.188176708822560e-01
0.6800  2.476143777898102e-01  -7.748722957385210e-01  3.002135373515430e-01  1.997864626498583e-01
0.6900  2.397471523110541e-01  -7.983205006571413e-01  3.186578108847344e-01  1.813421891166251e-01
0.7000  2.316530039011902e-01  -8.202581065628686e-01  3.364116806910512e-01  1.635883193102591e-01
0.7100  2.233469900376358e-01  -8.406959837597241e-01  3.533848685548651e-01  1.466151314463886e-01
0.7200  2.148440249639973e-01  -8.596518573985802e-01  3.695006579644144e-01  1.304993420367768e-01
0.7300  2.061588127330889e-01  -8.771499841327017e-01  3.846960473319995e-01  1.153039526691240e-01
0.7400  1.973057836257987e-01  -8.932208011940675e-01  3.989216998428859e-01  1.010783001581652e-01
0.7500  1.882990341945577e-01  -9.079005532950115e-01  4.121417073366940e-01  8.785829266428143e-02
0.7600  1.791522711263386e-01  -9.212309027032131e-01  4.243331880476884e-01  7.566681195320883e-02
0.7700  1.698787590672110e-01  -9.332585277120593e-01  4.354857397736403e-01  6.451426022717739e-02
0.7800  1.604912724991451e-01  -9.440347145410523e-01  4.456007711293030e-01  5.439922887143472e-02
0.7900  1.510020517105718e-01  -9.536149474609913e-01  4.546907340105146e-01  4.530926599014373e-02
