# Sum up vs down

#     n           log10(n)            relative error
      1       0.000000000000000e+00       -inf
      2       3.010299956639812e-01       -inf
      3       4.771212547196624e-01       -inf
      4       6.020599913279624e-01       -6.941418647766113e+00
      5       6.989700043360189e-01       -6.981229305267334e+00
      6       7.781512503836436e-01       -7.011826038360596e+00
      7       8.450980400142568e-01       -7.036438465118408e+00
      8       9.030899869919435e-01       -7.056886672973633e+00
      9       9.542425094393249e-01       -7.074287891387939e+00
      10       1.000000000000000e+00       -inf
      11       1.041392685158225e+00       -inf
      12       1.079181246047625e+00       -7.114470958709717e+00
      13       1.113943352306837e+00       -inf
      14       1.146128035678238e+00       -inf
      15       1.176091259055681e+00       -7.143566131591797e+00
      16       1.204119982655925e+00       -7.151670455932617e+00
      17       1.230448921378274e+00       -inf
      18       1.255272505103306e+00       -inf
      19       1.278753600952829e+00       -inf
      20       1.301029995663981e+00       -inf
      21       1.322219294733919e+00       -inf
      22       1.342422680822206e+00       -inf
      23       1.361727836017593e+00       -inf
      24       1.380211241711606e+00       -inf
      25       1.397940008672038e+00       -inf
      26       1.414973347970818e+00       -inf
      27       1.431363764158987e+00       -inf
      28       1.447158031342219e+00       -7.216739654541016e+00
      29       1.462397997898956e+00       -inf
      30       1.477121254719662e+00       -inf
      31       1.491361693834273e+00       -inf
      32       1.505149978319906e+00       -inf
      33       1.518513939877888e+00       -inf
      34       1.531478917042255e+00       -6.936338424682617e+00
      35       1.544068044350276e+00       -6.939341068267822e+00
      36       1.556302500767287e+00       -inf
      37       1.568201724066995e+00       -6.945043087005615e+00
      38       1.579783596616810e+00       -inf
      39       1.591064607026499e+00       -6.950380802154541e+00
      40       1.602059991327962e+00       -inf
      41       1.612783856719735e+00       -inf
      42       1.623249290397901e+00       -inf
      43       1.633468455579586e+00       -inf
      44       1.643452676486187e+00       -inf
      45       1.653212513775344e+00       -inf
      46       1.662757831681574e+00       -inf
      47       1.672097857935718e+00       -6.968813896179199e+00
      48       1.681241237375587e+00       -inf
      49       1.690196080028514e+00       -6.972830772399902e+00
      50       1.698970004336019e+00       -inf
      51       1.707570176097936e+00       -inf
      52       1.716003343634799e+00       -inf
      53       1.724275869600789e+00       -inf
      54       1.732393759822969e+00       -inf
      55       1.740362689494244e+00       -inf
      56       1.748188027006200e+00       -inf
      57       1.755874855672491e+00       -6.987118244171143e+00
      58       1.763427993562937e+00       -inf
      59       1.770852011642144e+00       -inf
      60       1.778151250383644e+00       -6.991863727569580e+00
      61       1.785329835010767e+00       -6.993382453918457e+00
      62       1.792391689498254e+00       -6.994871616363525e+00
      63       1.799340549453582e+00       -6.996331691741943e+00
      64       1.806179973983887e+00       -6.997764587402344e+00
      65       1.812913356642855e+00       -6.999170780181885e+00
      66       1.819543935541869e+00       -7.000551223754883e+00
      67       1.826074802700826e+00       -6.700876712799072e+00
      68       1.832508912706236e+00       -7.003238201141357e+00
      69       1.838849090737255e+00       -6.703516483306885e+00
      70       1.845098040014257e+00       -7.005832195281982e+00
      71       1.851258348719075e+00       -7.007095813751221e+00
      72       1.857332496431269e+00       -7.008338451385498e+00
      73       1.863322860120456e+00       -7.009560585021973e+00
      74       1.869231719730976e+00       -7.010763168334961e+00
      75       1.875061263391700e+00       -7.011946201324463e+00
      76       1.880813592280791e+00       -7.013110637664795e+00
      77       1.886490725172482e+00       -7.014256477355957e+00
      78       1.892094602690480e+00       -6.714354991912842e+00
      79       1.897627091290441e+00       -6.715466499328613e+00
      80       1.903089986991944e+00       -7.017590999603271e+00
      81       1.908485018878650e+00       -7.018669605255127e+00
      82       1.913813852383717e+00       -6.718702316284180e+00
      83       1.919078092376074e+00       -7.020779609680176e+00
      84       1.924279286061882e+00       -7.021811962127686e+00
      85       1.929418925714293e+00       -7.022829532623291e+00
      86       1.934498451243568e+00       -7.023833274841309e+00
      87       1.939519252618618e+00       -7.024823188781738e+00
      88       1.944482672150169e+00       -inf
      89       1.949390006644913e+00       -7.026762962341309e+00
      90       1.954242509439325e+00       -6.726683139801025e+00
      91       1.959041392321094e+00       -6.727621555328369e+00
      92       1.963787827345555e+00       -6.728547096252441e+00
      93       1.968482948553935e+00       -6.729461193084717e+00
      94       1.973127853599699e+00       -6.730363368988037e+00
      95       1.977723605288848e+00       -6.731254100799561e+00
      96       1.982271233039568e+00       -7.033164024353027e+00
      97       1.986771734266245e+00       -7.034033298492432e+00
      98       1.991226075692495e+00       -7.034891605377197e+00
      99       1.995635194597550e+00       -7.035739898681641e+00
      100       2.000000000000000e+00       -6.735547542572021e+00
      101       2.004321373782643e+00       -6.736375808715820e+00
      102       2.008600171761918e+00       -6.737194538116455e+00
      103       2.012837224705172e+00       -7.039033412933350e+00
      104       2.017033339298780e+00       -6.738802909851074e+00
      105       2.021189299069938e+00       -6.739593982696533e+00
      106       2.025305865264770e+00       -7.041405677795410e+00
      107       2.029383777685210e+00       -6.741148471832275e+00
      108       2.033423755486950e+00       -6.741913318634033e+00
      109       2.037426497940624e+00       -6.742669582366943e+00
      110       2.041392685158225e+00       -6.743417739868164e+00
      111       2.045322978786658e+00       -7.045187473297119e+00
      112       2.049218022670181e+00       -6.744889736175537e+00
      113       2.053078443483420e+00       -6.569523334503174e+00
      114       2.056904851336473e+00       -6.570240020751953e+00
      115       2.060697840353612e+00       -6.747041225433350e+00
      116       2.064457989226919e+00       -6.747743129730225e+00
      117       2.068185861746162e+00       -6.748438358306885e+00
      118       2.071882007306125e+00       -6.749126434326172e+00
      119       2.075546961392531e+00       -7.050837993621826e+00
      120       2.079181246047625e+00       -7.051512718200684e+00
