# Spherical Bessel functions via up and down recursion
#     logx                 Up Recursion             Down Recursion           Compare Up/Down         Compare Down/GSL         Compare Up/GSL
0.6720978579          2.3438665403e-04          2.3438665403e-04        -1.1337501764e+01         1.0000000000e+00         1.0000000000e+00
0.6812412374          2.8315064961e-04          2.8315064962e-04        -1.1080687785e+01         1.0000000000e+00         1.0000000000e+00
0.6901960800          3.4040987718e-04          3.4040987718e-04        -1.1389435993e+01         1.0000000000e+00         1.0000000000e+00
0.6989700043          4.0734424425e-04          4.0734424425e-04        -1.1424478693e+01         1.0000000000e+00         1.0000000000e+00
0.7075701761          4.8525075697e-04          4.8525075698e-04        -1.1327212025e+01         1.0000000000e+00         1.0000000000e+00
0.7160033436          5.7554888024e-04          5.7554888024e-04        -1.1651107017e+01         1.0000000000e+00         1.0000000000e+00
0.7242758696          6.7978535981e-04          6.7978535982e-04        -1.1575677785e+01         1.0000000000e+00         1.0000000000e+00
0.7323937598          7.9963839250e-04          7.9963839250e-04        -1.1701619771e+01         1.0000000000e+00         1.0000000000e+00
0.7403626895          9.3692102634e-04          9.3692102634e-04        -1.2245466997e+01         1.0000000000e+00         1.0000000000e+00
0.7481880270          1.0935836702e-03          1.0935836702e-03        -1.2224578320e+01         1.0000000000e+00         1.0000000000e+00
0.7558748557          1.2717155903e-03          1.2717155903e-03        -1.2563045363e+01         1.0000000000e+00         1.0000000000e+00
0.7634279936          1.4735452715e-03          1.4735452715e-03        -1.2070408097e+01         1.0000000000e+00         1.0000000000e+00
0.7708520116          1.7014395216e-03          1.7014395216e-03        -1.2557516603e+01         1.0000000000e+00         1.0000000000e+00
0.7781512504          1.9579011995e-03          1.9579011995e-03        -1.2708413954e+01         1.0000000000e+00         1.0000000000e+00
0.7853298350          2.2455654543e-03          2.2455654543e-03        -1.4182676537e+01         1.0000000000e+00         1.0000000000e+00
0.7923916895          2.5671943647e-03          2.5671943647e-03        -1.2921642251e+01         1.0000000000e+00         1.0000000000e+00
0.7993405495          2.9256698788e-03          2.9256698788e-03        -1.3465443076e+01         1.0000000000e+00         1.0000000000e+00
0.8061799740          3.3239849632e-03          3.3239849631e-03        -1.3245999529e+01         1.0000000000e+00         1.0000000000e+00
0.8129133566          3.7652328781e-03          3.7652328781e-03        -1.3824678225e+01         1.0000000000e+00         1.0000000000e+00
0.8195439355          4.2525945143e-03          4.2525945143e-03        -1.3950091025e+01         1.0000000000e+00         1.0000000000e+00
0.8260748027          4.7893237343e-03          4.7893237343e-03        -1.4185771433e+01         1.0000000000e+00         1.0000000000e+00
0.8325089127          5.3787306832e-03          5.3787306832e-03        -1.4602147841e+01         1.0000000000e+00         1.0000000000e+00
0.8388490907          6.0241630481e-03          6.0241630481e-03        -1.5101333768e+01         1.0000000000e+00         1.0000000000e+00
0.8450980400          6.7289852643e-03          6.7289852643e-03        -1.3940359310e+01         1.0000000000e+00         1.0000000000e+00
0.8512583487          7.4965556903e-03          7.4965556903e-03        -1.4110586709e+01         5.4079052153e-01         5.4079052153e-01
0.8573324964          8.3302017896e-03          8.3302017896e-03        -1.3660235967e+01         7.3410411943e-01         7.3410411943e-01
0.8633228601          9.2331933855e-03          9.2331933855e-03        -1.4201076869e+01         7.9884904331e-01         7.9884904331e-01
0.8692317197          1.0208714075e-02          1.0208714075e-02        -1.4049581481e+01         8.2961880013e-01         8.2961880013e-01
0.8750612634          1.1259830915e-02          1.1259830915e-02        -1.4751603773e+01         8.4629083669e-01         8.4629083669e-01
0.8808135923          1.2389462512e-02          1.2389462512e-02        -1.4406664179e+01         8.5560338874e-01         8.5560338874e-01
0.8864907252          1.3600345681e-02          1.3600345681e-02        -1.4013506099e+01         8.6044705664e-01         8.6044705664e-01
0.8920946027          1.4895000864e-02          1.4895000864e-02        -1.4371517412e+01         8.6224396012e-01         8.6224396012e-01
0.8976270913          1.6275696497e-02          1.6275696497e-02        -1.3994585722e+01         8.6175116407e-01         8.6175116407e-01
0.9030899870          1.7744412593e-02          1.7744412593e-02        -1.4687612077e+01         8.5938379271e-01         8.5938379271e-01
0.9084850189          1.9302803763e-02          1.9302803763e-02        -1.4240210166e+01         8.5536126420e-01         8.5536126420e-01
0.9138138524          2.0952161981e-02          2.0952161981e-02        -1.4590636893e+01         8.4977877810e-01         8.4977877810e-01
0.9190780924          2.2693379378e-02          2.2693379378e-02        -1.4815638922e+01         8.4264349473e-01         8.4264349473e-01
0.9242792861          2.4526911382e-02          2.4526911382e-02        -1.4735439258e+01         8.3389219939e-01         8.3389219939e-01
0.9294189257          2.6452740556e-02          2.6452740556e-02        -1.4979120434e+01         8.2339803607e-01         8.2339803607e-01
0.9344984512          2.8470341454e-02          2.8470341454e-02        -1.5613102429e+01         8.1096971451e-01         8.1096971451e-01
0.9395192526          3.0578646887e-02          3.0578646887e-02        -1.5468036758e+01         7.9634442860e-01         7.9634442860e-01
0.9444826722          3.2776015952e-02          3.2776015952e-02                     -inf         7.7917435097e-01         7.7917435097e-01
0.9493900066          3.5060204198e-02          3.5060204198e-02        -1.4662131509e+01         7.5900540391e-01         7.5900540391e-01
0.9542425094          3.7428336324e-02          3.7428336324e-02        -1.5430880280e+01         7.3524566701e-01         7.3524566701e-01
0.9590413923          3.9876881777e-02          3.9876881777e-02        -1.5458400948e+01         7.0711887693e-01         7.0711887693e-01
0.9637878273          4.2401633622e-02          4.2401633622e-02        -1.4883002355e+01         6.7359542339e-01         6.7359542339e-01
0.9684829486          4.4997691065e-02          4.4997691065e-02        -1.5635808723e+01         6.3328801411e-01         6.3328801411e-01
0.9731278536          4.7659445978e-02          4.7659445978e-02        -1.5292790698e+01         5.8428973771e-01         5.8428973771e-01
0.9777236053          5.0380573756e-02          5.0380573756e-02        -1.4656852879e+01         5.2391435960e-01         5.2391435960e-01
0.9822712330          5.3154028854e-02          5.3154028854e-02        -1.5884245941e+01         4.4826293651e-01         4.4826293651e-01
0.9867717343          5.5972045273e-02          5.5972045273e-02        -1.5508740921e+01         3.5146491514e-01         3.5146491514e-01
0.9912260757          5.8826142290e-02          5.8826142290e-02                     -inf         2.2426843510e-01         2.2426843510e-01
0.9956351946          6.1707135658e-02          6.1707135658e-02        -1.6250075136e+01         5.1221186432e-02         5.1221186432e-02
1.0000000000          6.4605154493e-02          6.4605154493e-02        -1.5968976922e+01         1.9552941160e-01         1.9552941160e-01
1.0043213738          6.7509664002e-02          6.7509664002e-02        -1.5386015708e+01         5.7172511429e-01         5.7172511429e-01
1.0086001718          7.0409494205e-02          7.0409494205e-02                     -inf         1.0000000000e+00         1.0000000000e+00
1.0128372247          7.3292874702e-02          7.3292874702e-02        -1.5324801504e+01         1.0000000000e+00         1.0000000000e+00
1.0170333393          7.6147475550e-02          7.6147475550e-02        -1.5341395259e+01         1.0000000000e+00         1.0000000000e+00
1.0211892991          7.8960454224e-02          7.8960454224e-02        -1.6056119391e+01         1.0000000000e+00         1.0000000000e+00
1.0253058653          8.1718508592e-02          8.1718508592e-02        -1.5770000189e+01         1.0000000000e+00         1.0000000000e+00
1.0293837777          8.4407935807e-02          8.4407935807e-02        -1.6085093033e+01         1.0000000000e+00         1.0000000000e+00
1.0334237555          8.7014696920e-02          8.7014696920e-02                     -inf         1.0000000000e+00         1.0000000000e+00
1.0374264979          8.9524487011e-02          8.9524487011e-02        -1.6110651594e+01         1.0000000000e+00         1.0000000000e+00
1.0413926852          9.1922810536e-02          9.1922810536e-02        -1.5520073056e+01         1.0000000000e+00         1.0000000000e+00
1.0453229788          9.4195061566e-02          9.4195061566e-02                     -inf         1.0000000000e+00         1.0000000000e+00
1.0492180227          9.6326608523e-02          9.6326608523e-02        -1.6142456023e+01         1.0000000000e+00         1.0000000000e+00
1.0530784435          9.8302882967e-02          9.8302882967e-02                     -inf         1.0000000000e+00         1.0000000000e+00
1.0569048513          1.0010947193e-01          1.0010947193e-01        -1.5858154928e+01         1.0000000000e+00         1.0000000000e+00
