# omega0=1, alpha=10
# theta0=3.14159, theta_dot0=0
# t_start=0, t_end=50, h=0.00911928
#   t          x(t)                 v(t)       
0  3.141590000000000e+00  0.000000000000000e+00
9.119282013323059e-02 3.141589991670895e+00 -1.589683916068843e-07
1.823856402664613e-01 3.141589973792339e+00 -2.237016580575373e-07
2.735784603996920e-01 3.141589951979696e+00 -2.509294527248608e-07
3.647712805329227e-01 3.141589928467453e+00 -2.632381052979056e-07
4.559641006661534e-01 3.141589904144037e+00 -2.696202037328699e-07
5.471569207993838e-01 3.141589879361941e+00 -2.736561567392206e-07
6.383497409326140e-01 3.141589854260278e+00 -2.767715816867514e-07
7.295425610658441e-01 3.141589828893190e+00 -2.795341935368193e-07
8.207353811990743e-01 3.141589803280980e+00 -2.821701451194935e-07
9.119282013323045e-01 3.141589777430467e+00 -2.847696016520501e-07
1.003121021465535e+00 3.141589751343088e+00 -2.873685876723295e-07
1.094313841598765e+00 3.141589725018129e+00 -2.899815734477714e-07
1.185506661731995e+00 3.141589698454005e+00 -2.926144487756446e-07
1.276699481865225e+00 3.141589671648774e+00 -2.952696885257420e-07
1.367892301998455e+00 3.141589644600340e+00 -2.979484090112102e-07
1.459085122131685e+00 3.141589617306533e+00 -3.006511869138746e-07
1.550277942264916e+00 3.141589589765139e+00 -3.033783852984917e-07
1.641470762398146e+00 3.141589561973921e+00 -3.061302833147260e-07
1.732663582531376e+00 3.141589533930614e+00 -3.089071279553617e-07
1.823856402664606e+00 3.141589505632931e+00 -3.117091546491840e-07
1.915049222797836e+00 3.141589477078568e+00 -3.145365954568716e-07
2.006242042931067e+00 3.141589448265194e+00 -3.173896823340540e-07
2.097434863064297e+00 3.141589419190461e+00 -3.202686484997639e-07
2.188627683197527e+00 3.141589389851998e+00 -3.231737289127927e-07
2.279820503330757e+00 3.141589360247413e+00 -3.261051605657648e-07
2.371013323463987e+00 3.141589330374291e+00 -3.290631825384301e-07
2.462206143597217e+00 3.141589300230197e+00 -3.320480360599648e-07
2.553398963730448e+00 3.141589269812674e+00 -3.350599644551466e-07
2.644591783863678e+00 3.141589239119240e+00 -3.380992133145121e-07
2.735784603996908e+00 3.141589208147395e+00 -3.411660304458618e-07
2.826977424130138e+00 3.141589176894610e+00 -3.442606659327158e-07
2.918170244263368e+00 3.141589145358339e+00 -3.473833721447319e-07
3.009363064396598e+00 3.141589113536011e+00 -3.505344036666661e-07
3.100555884529828e+00 3.141589081425030e+00 -3.537140174374205e-07
3.191748704663059e+00 3.141589049022777e+00 -3.569224726933202e-07
3.282941524796289e+00 3.141589016326611e+00 -3.601600311188122e-07
3.374134344929519e+00 3.141588983333866e+00 -3.634269566579653e-07
3.465327165062749e+00 3.141588950041852e+00 -3.667235157134100e-07
3.556519985195979e+00 3.141588916447853e+00 -3.700499770674334e-07
3.647712805329209e+00 3.141588882549132e+00 -3.734066119815605e-07
3.738905625462440e+00 3.141588848342924e+00 -3.767936941078762e-07
3.830098445595670e+00 3.141588813826439e+00 -3.802114996415639e-07
3.921291265728900e+00 3.141588778996863e+00 -3.836603072778767e-07
4.012484085862130e+00 3.141588743851357e+00 -3.871403982196856e-07
4.103676905995361e+00 3.141588708387055e+00 -3.906520562051733e-07
4.194869726128591e+00 3.141588672601064e+00 -3.941955676030220e-07
4.286062546261821e+00 3.141588636490467e+00 -3.977712213673133e-07
4.377255366395051e+00 3.141588600052319e+00 -4.013793090328183e-07
4.468448186528281e+00 3.141588563283649e+00 -4.050201248302602e-07
4.559641006661511e+00 3.141588526181460e+00 -4.086939655465104e-07
4.650833826794742e+00 3.141588488742726e+00 -4.124011307889140e-07
4.742026646927972e+00 3.141588450964394e+00 -4.161419228291768e-07
4.833219467061202e+00 3.141588412843384e+00 -4.199166467033690e-07
4.924412287194432e+00 3.141588374376587e+00 -4.237256102289050e-07
5.015605107327662e+00 3.141588335560868e+00 -4.275691239381925e-07
5.106797927460892e+00 3.141588296393059e+00 -4.314475012364893e-07
5.197990747594122e+00 3.141588256869970e+00 -4.353610583312413e-07
5.289183567727353e+00 3.141588216988375e+00 -4.393101144056705e-07
5.380376387860583e+00 3.141588176745024e+00 -4.432949914487969e-07
5.471569207993813e+00 3.141588136136636e+00 -4.473160143442143e-07
5.562762028127043e+00 3.141588095159898e+00 -4.513735109717163e-07
5.653954848260273e+00 3.141588053811470e+00 -4.554678121840814e-07
5.745147668393503e+00 3.141588012087981e+00 -4.595992518228342e-07
5.836340488526734e+00 3.141587969986027e+00 -4.637681667600591e-07
5.927533308659964e+00 3.141587927502177e+00 -4.679748969474850e-07
6.018726128793194e+00 3.141587884632966e+00 -4.722197853745810e-07
6.109918948926424e+00 3.141587841374899e+00 -4.765031781506001e-07
6.201111769059654e+00 3.141587797724449e+00 -4.808254245431945e-07
6.292304589192884e+00 3.141587753678055e+00 -4.851868770170413e-07
6.383497409326115e+00 3.141587709232126e+00 -4.895878912114824e-07
6.474690229459345e+00 3.141587664383039e+00 -4.940288259556566e-07
6.565883049592575e+00 3.141587619127137e+00 -4.985100433699751e-07
6.657075869725805e+00 3.141587573460730e+00 -5.030319088014546e-07
6.748268689859035e+00 3.141587527380093e+00 -5.075947910144973e-07
6.839461509992265e+00 3.141587480881471e+00 -5.121990620415543e-07
6.930654330125495e+00 3.141587433961070e+00 -5.168450972904993e-07
7.021847150258726e+00 3.141587386615066e+00 -5.215332756242414e-07
7.113039970391956e+00 3.141587338839598e+00 -5.262639792407738e-07
7.204232790525186e+00 3.141587290630770e+00 -5.310375939547460e-07
7.295425610658416e+00 3.141587241984650e+00 -5.358545090064718e-07
7.386618430791646e+00 3.141587192897274e+00 -5.407151171577219e-07
7.477811250924876e+00 3.141587143364638e+00 -5.456198147151660e-07
7.569004071058107e+00 3.141587093382703e+00 -5.505690015929866e-07
7.660196891191337e+00 3.141587042947394e+00 -5.555630813694486e-07
7.751389711324567e+00 3.141586992054598e+00 -5.606024612668693e-07
7.842582531457797e+00 3.141586940700166e+00 -5.656875521521467e-07
7.933775351591027e+00 3.141586888879909e+00 -5.708187686983701e-07
8.024968171724257e+00 3.141586836589604e+00 -5.759965293022515e-07
8.116160991857488e+00 3.141586783824986e+00 -5.812212561189410e-07
8.207353811990718e+00 3.141586730581753e+00 -5.864933751707901e-07
8.298546632123948e+00 3.141586676855563e+00 -5.918133163604572e-07
8.389739452257178e+00 3.141586622642035e+00 -5.971815134869130e-07
8.480932272390408e+00 3.141586567936750e+00 -6.025984042246646e-07
8.572125092523638e+00 3.141586512735246e+00 -6.080644303076591e-07
8.663317912656868e+00 3.141586457033022e+00 -6.135800374119979e-07
8.754510732790099e+00 3.141586400825537e+00 -6.191456752762921e-07
8.845703552923329e+00 3.141586344108207e+00 -6.247617976834132e-07
8.936896373056559e+00 3.141586286876408e+00 -6.304288625660803e-07
9.028089193189789e+00 3.141586229125473e+00 -6.361473320854955e-07
9.119282013323019e+00 3.141586170850692e+00 -6.419176724776137e-07
9.210474833456249e+00 3.141586112047316e+00 -6.477403542563717e-07
9.301667653589480e+00 3.141586052710549e+00 -6.536158521226919e-07
9.392860473722710e+00 3.141585992835551e+00 -6.595446452289063e-07
9.484053293855940e+00 3.141585932417442e+00 -6.655272170133895e-07
9.575246113989170e+00 3.141585871451294e+00 -6.715640553067521e-07
9.666438934122400e+00 3.141585809932137e+00 -6.776556522944731e-07
9.757631754255630e+00 3.141585747854955e+00 -6.838025046996142e-07
9.848824574388860e+00 3.141585685214685e+00 -6.900051137373657e-07
9.940017394522091e+00 3.141585622006220e+00 -6.962639851588523e-07
1.003121021465532e+01 3.141585558224407e+00 -7.025796292954333e-07
1.012240303478855e+01 3.141585493864044e+00 -7.089525611475398e-07
1.021359585492178e+01 3.141585428919883e+00 -7.153833003353289e-07
1.030478867505501e+01 3.141585363386630e+00 -7.218723712483090e-07
1.039598149518824e+01 3.141585297258940e+00 -7.284203029540291e-07
1.048717431532147e+01 3.141585230531421e+00 -7.350276293746171e-07
1.057836713545470e+01 3.141585163198634e+00 -7.416948892713639e-07
1.066955995558793e+01 3.141585095255087e+00 -7.484226262574516e-07
1.076075277572116e+01 3.141585026695240e+00 -7.552113889390654e-07
1.085194559585439e+01 3.141584957513503e+00 -7.620617308858039e-07
1.094313841598762e+01 3.141584887704235e+00 -7.689742106424504e-07
1.103433123612085e+01 3.141584817261743e+00 -7.759493918597307e-07
1.112552405625408e+01 3.141584746180285e+00 -7.829878433017066e-07
1.121671687638731e+01 3.141584674454064e+00 -7.900901388402860e-07
1.130790969652054e+01 3.141584602077231e+00 -7.972568575905369e-07
1.139910251665377e+01 3.141584529043885e+00 -8.044885839703361e-07
1.149029533678700e+01 3.141584455348072e+00 -8.117859075936812e-07
1.158148815692023e+01 3.141584380983781e+00 -8.191494234908154e-07
1.167268097705346e+01 3.141584305944950e+00 -8.265797320659649e-07
1.176387379718669e+01 3.141584230225459e+00 -8.340774391986687e-07
1.185506661731992e+01 3.141584153819133e+00 -8.416431563255883e-07
1.194625943745315e+01 3.141584076719745e+00 -8.492775002737122e-07
1.203745225758638e+01 3.141583998921007e+00 -8.569810935131063e-07
1.212864507771961e+01 3.141583920416575e+00 -8.647545641483966e-07
1.221983789785284e+01 3.141583841200049e+00 -8.725985460915085e-07
1.231103071798607e+01 3.141583761264967e+00 -8.805136789315283e-07
1.240222353811930e+01 3.141583680604815e+00 -8.885006080372408e-07
1.249341635825254e+01 3.141583599213013e+00 -8.965599846506790e-07
1.258460917838577e+01 3.141583517082926e+00 -9.046924659430638e-07
1.267580199851900e+01 3.141583434207857e+00 -9.128987150017336e-07
1.276699481865223e+01 3.141583350581046e+00 -9.211794010169787e-07
1.285818763878546e+01 3.141583266195677e+00 -9.295351992030889e-07
1.294938045891869e+01 3.141583181044869e+00 -9.379667908301415e-07
1.304057327905192e+01 3.141583095121678e+00 -9.464748634076697e-07
1.313176609918515e+01 3.141583008419099e+00 -9.550601106170272e-07
1.322295891931838e+01 3.141582920930062e+00 -9.637232325528550e-07
1.331415173945161e+01 3.141582832647432e+00 -9.724649356129725e-07
1.340534455958484e+01 3.141582743564012e+00 -9.812859325585363e-07
1.349653737971807e+01 3.141582653672536e+00 -9.901869426979756e-07
1.358773019985130e+01 3.141582562965677e+00 -9.991686917988894e-07
1.367892301998453e+01 3.141582471436038e+00 -1.008231912165908e-06
1.377011584011776e+01 3.141582379076155e+00 -1.017377342842448e-06
1.386130866025099e+01 3.141582285878498e+00 -1.026605729511909e-06
1.395250148038422e+01 3.141582191835467e+00 -1.035917824684502e-06
1.404369430051745e+01 3.141582096939395e+00 -1.045314387605615e-06
1.413488712065068e+01 3.141582001182543e+00 -1.054796184515785e-06
1.422607994078391e+01 3.141581904557103e+00 -1.064363988556518e-06
1.431727276091714e+01 3.141581807055197e+00 -1.074018579849506e-06
1.440846558105037e+01 3.141581708668875e+00 -1.083760745638474e-06
1.449965840118360e+01 3.141581609390114e+00 -1.093591280261009e-06
1.459085122131683e+01 3.141581509210819e+00 -1.103510985335399e-06
1.468204404145006e+01 3.141581408122821e+00 -1.113520669670870e-06
