# omega0=1, alpha=2.5
# theta0=3.14159, theta_dot0=0
# t_start=0, t_end=50, h=0.00911928
#   t          x(t)                 v(t)       
5.106797927460892e+00 3.141578482052766e+00 -4.971106328673177e-06
5.197990747594122e+00 3.141578021394910e+00 -5.132696480403892e-06
5.289183567727353e+00 3.141577545762970e+00 -5.299539234220802e-06
5.380376387860583e+00 3.141577054670202e+00 -5.471805335787523e-06
5.471569207993813e+00 3.141576547614040e+00 -5.649671079820023e-06
5.562762028127043e+00 3.141576024075582e+00 -5.833318490651239e-06
5.653954848260273e+00 3.141575483519057e+00 -6.022935508803154e-06
5.745147668393503e+00 3.141574925391279e+00 -6.218716183307425e-06
5.836340488526734e+00 3.141574349121081e+00 -6.420860870515661e-06
5.927533308659964e+00 3.141573754118727e+00 -6.629576439241879e-06
6.018726128793194e+00 3.141573139775313e+00 -6.845076482523545e-06
6.109918948926424e+00 3.141572505462141e+00 -7.067581536150141e-06
6.201111769059654e+00 3.141571850530079e+00 -7.297319304484558e-06
6.292304589192884e+00 3.141571174308892e+00 -7.534524893469233e-06
6.383497409326115e+00 3.141570476106557e+00 -7.779441051270883e-06
6.474690229459345e+00 3.141569755208561e+00 -8.032318416766301e-06
6.565883049592575e+00 3.141569010877161e+00 -8.293415775958311e-06
6.657075869725805e+00 3.141568242350633e+00 -8.563000326885450e-06
6.748268689859035e+00 3.141567448842495e+00 -8.841347953090010e-06
6.839461509992265e+00 3.141566629540700e+00 -9.128743505834392e-06
6.930654330125495e+00 3.141565783606801e+00 -9.425481095761023e-06
7.021847150258726e+00 3.141564910175100e+00 -9.731864393829694e-06
7.113039970391956e+00 3.141564008351756e+00 -1.004820694198432e-05
7.204232790525186e+00 3.141563077213876e+00 -1.037483247425226e-05
7.295425610658416e+00 3.141562115808565e+00 -1.071207524775816e-05
7.386618430791646e+00 3.141561123151955e+00 -1.106028038501604e-05
7.477811250924876e+00 3.141560098228196e+00 -1.141980422704754e-05
7.569004071058107e+00 3.141559039988417e+00 -1.179101469795973e-05
7.660196891191337e+00 3.141557947349650e+00 -1.217429168165111e-05
7.751389711324567e+00 3.141556819193730e+00 -1.257002741038308e-05
7.842582531457797e+00 3.141555654366140e+00 -1.297862686629637e-05
7.933775351591027e+00 3.141554451674835e+00 -1.340050819581278e-05
8.024968171724257e+00 3.141553209889025e+00 -1.383610313755111e-05
8.116160991857488e+00 3.141551927737908e+00 -1.428585746416892e-05
8.207353811990718e+00 3.141550603909378e+00 -1.475023143852082e-05
8.298546632123948e+00 3.141549237048672e+00 -1.522970028467869e-05
8.389739452257178e+00 3.141547825756994e+00 -1.572475467435827e-05
8.480932272390408e+00 3.141546368590076e+00 -1.623590122896170e-05
8.572125092523638e+00 3.141544864056705e+00 -1.676366303801144e-05
8.663317912656868e+00 3.141543310617195e+00 -1.730858019450667e-05
8.754510732790099e+00 3.141541706681811e+00 -1.787121034759514e-05
8.845703552923329e+00 3.141540050609138e+00 -1.845212927336423e-05
8.936896373056559e+00 3.141538340704412e+00 -1.905193146392967e-05
9.028089193189789e+00 3.141536575217776e+00 -1.967123073592809e-05
9.119282013323019e+00 3.141534752342491e+00 -2.031066085862746e-05
9.210474833456249e+00 3.141532870213091e+00 -2.097087620248011e-05
9.301667653589480e+00 3.141530926903471e+00 -2.165255240877568e-05
9.392860473722710e+00 3.141528920424915e+00 -2.235638708113193e-05
9.484053293855940e+00 3.141526848724063e+00 -2.308310049940938e-05
9.575246113989170e+00 3.141524709680809e+00 -2.383343635673479e-05
9.666438934122400e+00 3.141522501106131e+00 -2.460816252056051e-05
9.757631754255630e+00 3.141520220739851e+00 -2.540807181862142e-05
9.848824574388860e+00 3.141517866248321e+00 -2.623398285011390e-05
9.940017394522091e+00 3.141515435222038e+00 -2.708674082353046e-05
1.003121021465532e+01 3.141512925173173e+00 -2.796721842156997e-05
1.012240303478855e+01 3.141510333533029e+00 -2.887631669429994e-05
1.021359585492178e+01 3.141507657649413e+00 -2.981496598113853e-05
1.030478867505501e+01 3.141504894783921e+00 -3.078412686294471e-05
1.039598149518824e+01 3.141502042109130e+00 -3.178479114512148e-05
1.048717431532147e+01 3.141499096705713e+00 -3.281798287249659e-05
1.057836713545470e+01 3.141496055559449e+00 -3.388475937737091e-05
1.066955995558793e+01 3.141492915558132e+00 -3.498621236152111e-05
1.076075277572116e+01 3.141489673488397e+00 -3.612346901350912e-05
1.085194559585439e+01 3.141486326032422e+00 -3.729769316195510e-05
1.094313841598762e+01 3.141482869764538e+00 -3.851008646671945e-05
1.103433123612085e+01 3.141479301147721e+00 -3.976188964877755e-05
1.112552405625408e+01 3.141475616529973e+00 -4.105438375974892e-05
1.121671687638731e+01 3.141471812140584e+00 -4.238889149287881e-05
1.130790969652054e+01 3.141467884086275e+00 -4.376677853677371e-05
1.139910251665377e+01 3.141463828347213e+00 -4.518945497281682e-05
1.149029533678700e+01 3.141459640772897e+00 -4.665837671835088e-05
1.158148815692023e+01 3.141455317077909e+00 -4.817504701644988e-05
1.167268097705346e+01 3.141450852837531e+00 -4.974101797440168e-05
1.176387379718669e+01 3.141446243483216e+00 -5.135789215204374e-05
1.185506661731992e+01 3.141441484297909e+00 -5.302732420186125e-05
1.194625943745315e+01 3.141436570411229e+00 -5.475102256216895e-05
1.203745225758638e+01 3.141431496794475e+00 -5.653075120551893e-05
1.212864507771961e+01 3.141426258255485e+00 -5.836833144388985e-05
1.221983789785284e+01 3.141420849433322e+00 -6.026564379243260e-05
1.231103071798607e+01 3.141415264792786e+00 -6.222462989413698e-05
1.240222353811930e+01 3.141409498618750e+00 -6.424729450672476e-05
1.249341635825254e+01 3.141403545010315e+00 -6.633570755431744e-05
1.258460917838577e+01 3.141397397874765e+00 -6.849200624553502e-05
1.267580199851900e+01 3.141391050921337e+00 -7.071839726081403e-05
1.276699481865223e+01 3.141384497654779e+00 -7.301715901064183e-05
1.285818763878546e+01 3.141377731368710e+00 -7.539064396709525e-05
1.294938045891869e+01 3.141370745138748e+00 -7.784128107134292e-05
1.304057327905192e+01 3.141363531815431e+00 -8.037157821926032e-05
1.313176609918515e+01 3.141356084016894e+00 -8.298412482805450e-05
1.322295891931838e+01 3.141348394121322e+00 -8.568159448608099e-05
1.331415173945161e+01 3.141340454259146e+00 -8.846674768894184e-05
1.340534455958484e+01 3.141332256304987e+00 -9.134243466436435e-05
1.349653737971807e+01 3.141323791869347e+00 -9.431159828917508e-05
1.358773019985130e+01 3.141315052290018e+00 -9.737727710085879e-05
1.367892301998453e+01 3.141306028623221e+00 -1.005426084070794e-04
1.377011584011776e+01 3.141296711634451e+00 -1.038108314962975e-04
1.386130866025099e+01 3.141287091789029e+00 -1.071852909526383e-04
1.395250148038422e+01 3.141277159242343e+00 -1.106694400787014e-04
1.404369430051745e+01 3.141266903829772e+00 -1.142668444295295e-04
1.413488712065068e+01 3.141256315056287e+00 -1.179811854614797e-04
1.422607994078391e+01 3.141245382085708e+00 -1.218162642996258e-04
1.431727276091714e+01 3.141234093729616e+00 -1.257760056278021e-04
1.440846558105037e+01 3.141222438435905e+00 -1.298644617048378e-04
1.449965840118360e+01 3.141210404276956e+00 -1.340858165114469e-04
1.459085122131683e+01 3.141197978937432e+00 -1.384443900321488e-04
1.468204404145006e+01 3.141185149701678e+00 -1.429446426759894e-04
1.477323686158329e+01 3.141171903440707e+00 -1.475911798411189e-04
1.486442968171652e+01 3.141158226598759e+00 -1.523887566278797e-04
1.495562250184975e+01 3.141144105179436e+00 -1.573422827049201e-04
1.504681532198298e+01 3.141129524731375e+00 -1.624568273335624e-04
1.513800814211621e+01 3.141114470333458e+00 -1.677376245554344e-04
1.522920096224944e+01 3.141098926579546e+00 -1.731900785488524e-04
1.532039378238267e+01 3.141082877562709e+00 -1.788197691590489e-04
1.541158660251590e+01 3.141066306858949e+00 -1.846324576084852e-04
1.550277942264913e+01 3.141049197510394e+00 -1.906340923925725e-04
1.559397224278236e+01 3.141031532007940e+00 -1.968308153671046e-04
1.568516506291559e+01 3.141013292273337e+00 -2.032289680335855e-04
1.577635788304882e+01 3.140994459640686e+00 -2.098350980287898e-04
1.586755070318205e+01 3.140975014837339e+00 -2.166559658252202e-04
1.595874352331528e+01 3.140954937964174e+00 -2.236985516494876e-04
1.604993634344851e+01 3.140934208475231e+00 -2.309700626255668e-04
1.614112916358174e+01 3.140912805156688e+00 -2.384779401502510e-04
1.623232198371497e+01 3.140890706105150e+00 -2.462298675081576e-04
1.632351480384820e+01 3.140867888705234e+00 -2.542337777345527e-04
1.641470762398143e+01 3.140844329606430e+00 -2.624978617334946e-04
1.650590044411466e+01 3.140820004699195e+00 -2.710305766598039e-04
1.659709326424789e+01 3.140794889090291e+00 -2.798406545739011e-04
1.668828608438112e+01 3.140768957077302e+00 -2.889371113775875e-04
1.677947890451435e+01 3.140742182122338e+00 -2.983292560403829e-04
1.687067172464758e+01 3.140714536824874e+00 -3.080267001256636e-04
1.696186454478081e+01 3.140685992893707e+00 -3.180393676265812e-04
1.705305736491404e+01 3.140656521118008e+00 -3.283775051217513e-04
1.714425018504727e+01 3.140626091337430e+00 -3.390516922607927e-04
