# omega0=1, alpha=2
# theta0=3.14159, theta_dot0=0
# t_start=0, t_end=50, h=0.00911928
#   t          x(t)                 v(t)       
0  3.141590000000000e+00  0.000000000000000e+00
9.119282013323059e-02 3.141589989600384e+00 -2.215098850491526e-07
1.823856402664613e-01 3.141589960669349e+00 -4.077746757039041e-07
2.735784603996920e-01 3.141589916076375e+00 -5.660873720019183e-07
3.647712805329227e-01 3.141589858093398e+00 -7.023124499763378e-07
4.559641006661534e-01 3.141589788511717e+00 -8.211686370681526e-07
5.471569207993838e-01 3.141589708735753e+00 -9.264558272435804e-07
6.383497409326140e-01 3.141589619858235e+00 -1.021237175105380e-06
7.295425610658441e-01 3.141589522720473e+00 -1.107985226897773e-06
8.207353811990743e-01 3.141589417960679e+00 -1.188699195704541e-06
9.119282013323045e-01 3.141589306052681e+00 -1.264999083722841e-06
1.003121021465535e+00 3.141589187336931e+00 -1.338201227921534e-06
1.094313841598765e+00 3.141589062045334e+00 -1.409378940629302e-06
1.185506661731995e+00 3.141588930321112e+00 -1.479411191437981e-06
1.276699481865225e+00 3.141588792234672e+00 -1.549021694376640e-06
1.367892301998455e+00 3.141588647796286e+00 -1.618810297559646e-06
1.459085122131685e+00 3.141588496966191e+00 -1.689278197231845e-06
1.550277942264916e+00 3.141588339662636e+00 -1.760848197598264e-06
1.641470762398146e+00 3.141588175768250e+00 -1.833880996744671e-06
1.732663582531376e+00 3.141588005135096e+00 -1.908688284833146e-06
1.823856402664606e+00 3.141587827588639e+00 -1.985543285728128e-06
1.915049222797836e+00 3.141587642930849e+00 -2.064689248507378e-06
2.006242042931067e+00 3.141587450942619e+00 -2.146346295376209e-06
2.097434863064297e+00 3.141587251385605e+00 -2.230716951796089e-06
2.188627683197527e+00 3.141587044003625e+00 -2.317990620918575e-06
2.279820503330757e+00 3.141586828523681e+00 -2.408347212097000e-06
2.371013323463987e+00 3.141586604656689e+00 -2.501960092227470e-06
2.462206143597217e+00 3.141586372097958e+00 -2.598998495434071e-06
2.553398963730448e+00 3.141586130527477e+00 -2.699629499436286e-06
2.644591783863678e+00 3.141585879610035e+00 -2.804019656015839e-06
2.735784603996908e+00 3.141585618995202e+00 -2.912336345720838e-06
2.826977424130138e+00 3.141585348317204e+00 -3.024748912939839e-06
2.918170244263368e+00 3.141585067194697e+00 -3.141429626726554e-06
3.009363064396598e+00 3.141584775230462e+00 -3.262554503622328e-06
3.100555884529828e+00 3.141584472011032e+00 -3.388304021866091e-06
3.191748704663059e+00 3.141584157106251e+00 -3.518863750510001e-06
3.282941524796289e+00 3.141583830068788e+00 -3.654424912317079e-06
3.374134344929519e+00 3.141583490433598e+00 -3.795184895769799e-06
3.465327165062749e+00 3.141583137717335e+00 -3.941347728677047e-06
3.556519985195979e+00 3.141582771417726e+00 -4.093124523350974e-06
3.647712805329209e+00 3.141582391012909e+00 -4.250733901494330e-06
3.738905625462440e+00 3.141581995960727e+00 -4.414402405210864e-06
3.830098445595670e+00 3.141581585697986e+00 -4.584364899905432e-06
3.921291265728900e+00 3.141581159639681e+00 -4.760864973236290e-06
4.012484085862130e+00 3.141580717178181e+00 -4.944155333863431e-06
4.103676905995361e+00 3.141580257682376e+00 -5.134498213403567e-06
4.194869726128591e+00 3.141579780496794e+00 -5.332165773335917e-06
4.286062546261821e+00 3.141579284940678e+00 -5.537440519945314e-06
4.377255366395051e+00 3.141578770307016e+00 -5.750615728795139e-06
4.468448186528281e+00 3.141578235861548e+00 -5.971995880117635e-06
4.559641006661511e+00 3.141577680841717e+00 -6.201897106970492e-06
4.650833826794742e+00 3.141577104455588e+00 -6.440647657421281e-06
4.742026646927972e+00 3.141576505880724e+00 -6.688588371839051e-06
4.833219467061202e+00 3.141575884263012e+00 -6.946073176072179e-06
4.924412287194432e+00 3.141575238715446e+00 -7.213469592238305e-06
5.015605107327662e+00 3.141574568316866e+00 -7.491159267906694e-06
5.106797927460892e+00 3.141573872110644e+00 -7.779538524215152e-06
5.197990747594122e+00 3.141573149103320e+00 -8.079018924268836e-06
5.289183567727353e+00 3.141572398263182e+00 -8.390027863010445e-06
5.380376387860583e+00 3.141571618518802e+00 -8.713009178840044e-06
5.471569207993813e+00 3.141570808757500e+00 -9.048423788454943e-06
5.562762028127043e+00 3.141569967823763e+00 -9.396750345795722e-06
5.653954848260273e+00 3.141569094517589e+00 -9.758485926172679e-06
5.745147668393503e+00 3.141568187592786e+00 -1.013414673629493e-05
5.836340488526734e+00 3.141567245755181e+00 -1.052426885143499e-05
5.927533308659964e+00 3.141566267660783e+00 -1.092940898108962e-05
6.018726128793194e+00 3.141565251913862e+00 -1.135014526372569e-05
6.109918948926424e+00 3.141564197064959e+00 -1.178707809196768e-05
6.201111769059654e+00 3.141563101608813e+00 -1.224083096978126e-05
6.292304589192884e+00 3.141561963982218e+00 -1.271205140238593e-05
6.383497409326115e+00 3.141560782561793e+00 -1.320141182029902e-05
6.474690229459345e+00 3.141559555661659e+00 -1.370961053918039e-05
6.565883049592575e+00 3.141558281531041e+00 -1.423737275642239e-05
6.657075869725805e+00 3.141556958351765e+00 -1.478545158588595e-05
6.748268689859035e+00 3.141555584235666e+00 -1.535462913287282e-05
6.839461509992265e+00 3.141554157221892e+00 -1.594571761010888e-05
6.930654330125495e+00 3.141552675274104e+00 -1.655956049689771e-05
7.021847150258726e+00 3.141551136277575e+00 -1.719703374279521e-05
7.113039970391956e+00 3.141549538036171e+00 -1.785904701752174e-05
7.204232790525186e+00 3.141547878269213e+00 -1.854654500908206e-05
7.295425610658416e+00 3.141546154608227e+00 -1.926050877201185e-05
7.386618430791646e+00 3.141544364593563e+00 -2.000195712718608e-05
7.477811250924876e+00 3.141542505670883e+00 -2.077194811568082e-05
7.569004071058107e+00 3.141540575187522e+00 -2.157158050868803e-05
7.660196891191337e+00 3.141538570388692e+00 -2.240199537537694e-05
7.751389711324567e+00 3.141536488413563e+00 -2.326437771133117e-05
7.842582531457797e+00 3.141534326291174e+00 -2.415995812934714e-05
7.933775351591027e+00 3.141532080936191e+00 -2.509001461563596e-05
8.024968171724257e+00 3.141529749144512e+00 -2.605587435346072e-05
8.116160991857488e+00 3.141527327588689e+00 -2.705891561698604e-05
8.207353811990718e+00 3.141524812813180e+00 -2.810056973820739e-05
8.298546632123948e+00 3.141522201229421e+00 -2.918232314931942e-05
8.389739452257178e+00 3.141519489110703e+00 -3.030571950379505e-05
8.480932272390408e+00 3.141516672586853e+00 -3.147236187930072e-05
8.572125092523638e+00 3.141513747638714e+00 -3.268391506531784e-05
8.663317912656868e+00 3.141510710092410e+00 -3.394210793856575e-05
8.754510732790099e+00 3.141507555613384e+00 -3.524873593025764e-05
8.845703552923329e+00 3.141504279700222e+00 -3.660566358813811e-05
8.936896373056559e+00 3.141500877678220e+00 -3.801482723715000e-05
9.028089193189789e+00 3.141497344692721e+00 -3.947823774255233e-05
9.119282013323019e+00 3.141493675702182e+00 -4.099798337948599e-05
9.210474833456249e+00 3.141489865470982e+00 -4.257623281286205e-05
9.301667653589480e+00 3.141485908561952e+00 -4.421523819204945e-05
9.392860473722710e+00 3.141481799328615e+00 -4.591733836464713e-05
9.484053293855940e+00 3.141477531907127e+00 -4.768496221394885e-05
9.575246113989170e+00 3.141473100207912e+00 -4.952063212499884e-05
9.666438934122400e+00 3.141468497906970e+00 -5.142696758405398e-05
9.757631754255630e+00 3.141463718436855e+00 -5.340668891656292e-05
9.848824574388860e+00 3.141458754977300e+00 -5.546262116899151e-05
9.940017394522091e+00 3.141453600445487e+00 -5.759769814019278e-05
1.003121021465532e+01 3.141448247485942e+00 -5.981496656785502e-05
1.012240303478855e+01 3.141442688460033e+00 -6.211759047620339e-05
1.021359585492178e+01 3.141436915435075e+00 -6.450885569105733e-05
1.030478867505501e+01 3.141430920173008e+00 -6.699217452859286e-05
1.039598149518824e+01 3.141424694118641e+00 -6.957109066470776e-05
1.048717431532147e+01 3.141418228387442e+00 -7.224928419187322e-05
1.057836713545470e+01 3.141411513752866e+00 -7.503057687056376e-05
1.066955995558793e+01 3.141404540633184e+00 -7.791893758285069e-05
1.076075277572116e+01 3.141397299077807e+00 -8.091848799604082e-05
1.085194559585439e+01 3.141389778753096e+00 -8.403350844416959e-05
