# omega0=1, alpha=3
# theta0=3.14159, theta_dot0=0
# t_start=0, t_end=50, h=0.00911928
#   t          x(t)                 v(t)       
1.085194559585439e+01 3.141527684822646e+00 -1.967095989464512e-05
1.094313841598762e+01 3.141525865977860e+00 -2.022166178379305e-05
1.103433123612085e+01 3.141523996213278e+00 -2.078778094648384e-05
1.112552405625408e+01 3.141522074103367e+00 -2.136974899972899e-05
1.121671687638731e+01 3.141520098182681e+00 -2.196800964402754e-05
1.130790969652054e+01 3.141518066944753e+00 -2.258301900153876e-05
1.139910251665377e+01 3.141515978840940e+00 -2.321524596390109e-05
1.149029533678700e+01 3.141513832279242e+00 -2.386517254956364e-05
1.158148815692023e+01 3.141511625623090e+00 -2.453329427152739e-05
1.167268097705346e+01 3.141509357190100e+00 -2.522012051498193e-05
1.176387379718669e+01 3.141507025250787e+00 -2.592617492566658e-05
1.185506661731992e+01 3.141504628027249e+00 -2.665199580919963e-05
1.194625943745315e+01 3.141502163691809e+00 -2.739813654141967e-05
1.203745225758638e+01 3.141499630365624e+00 -2.816516599026895e-05
1.212864507771961e+01 3.141497026117250e+00 -2.895366894955566e-05
1.221983789785284e+01 3.141494348961174e+00 -2.976424658479506e-05
1.231103071798607e+01 3.141491596856294e+00 -3.059751689155361e-05
1.240222353811930e+01 3.141488767704369e+00 -3.145411516651759e-05
1.249341635825254e+01 3.141485859348413e+00 -3.233469449197485e-05
1.258460917838577e+01 3.141482869571056e+00 -3.323992623372841e-05
1.267580199851900e+01 3.141479796092851e+00 -3.417050055286370e-05
1.276699481865223e+01 3.141476636570534e+00 -3.512712693210752e-05
1.285818763878546e+01 3.141473388595244e+00 -3.611053471654162e-05
1.294938045891869e+01 3.141470049690680e+00 -3.712147366971067e-05
1.304057327905192e+01 3.141466617311214e+00 -3.816071454535112e-05
1.313176609918515e+01 3.141463088839953e+00 -3.922904967493764e-05
1.322295891931838e+01 3.141459461586741e+00 -4.032729357184932e-05
1.331415173945161e+01 3.141455732786111e+00 -4.145628355232693e-05
1.340534455958484e+01 3.141451899595174e+00 -4.261688037388563e-05
1.349653737971807e+01 3.141447959091453e+00 -4.380996889146038e-05
1.358773019985130e+01 3.141443908270653e+00 -4.503645873207037e-05
1.367892301998453e+01 3.141439744044373e+00 -4.629728498836956e-05
1.377011584011776e+01 3.141435463237750e+00 -4.759340893151692e-05
1.386130866025099e+01 3.141431062587037e+00 -4.892581874420388e-05
1.395250148038422e+01 3.141426538737119e+00 -5.029553027386222e-05
1.404369430051745e+01 3.141421888238949e+00 -5.170358780734365e-05
1.413488712065068e+01 3.141417107546924e+00 -5.315106486700471e-05
1.422607994078391e+01 3.141412193016178e+00 -5.463906502914597e-05
1.431727276091714e+01 3.141407140899807e+00 -5.616872276542489e-05
1.440846558105037e+01 3.141401947346006e+00 -5.774120430774931e-05
1.449965840118360e+01 3.141396608395139e+00 -5.935770853751862e-05
1.459085122131683e+01 3.141391119976717e+00 -6.101946789968196e-05
1.468204404145006e+01 3.141385477906294e+00 -6.272774934223591e-05
1.477323686158329e+01 3.141379677882278e+00 -6.448385528222536e-05
1.486442968171652e+01 3.141373715482650e+00 -6.628912459874414e-05
1.495562250184975e+01 3.141367586161596e+00 -6.814493365374433e-05
1.504681532198298e+01 3.141361285246038e+00 -7.005269734124964e-05
1.513800814211621e+01 3.141354807932070e+00 -7.201387016622177e-05
1.522920096224944e+01 3.141348149281301e+00 -7.402994735347191e-05
1.532039378238267e+01 3.141341304217083e+00 -7.610246598754854e-05
1.541158660251590e+01 3.141334267520645e+00 -7.823300618482824e-05
1.550277942264913e+01 3.141327033827113e+00 -8.042319229804965e-05
1.559397224278236e+01 3.141319597621421e+00 -8.267469415477473e-05
1.568516506291559e+01 3.141311953234103e+00 -8.498922833042897e-05
1.577635788304882e+01 3.141304094836974e+00 -8.736855945714606e-05
1.586755070318205e+01 3.141296016438684e+00 -8.981450156903715e-05
1.595874352331528e+01 3.141287711880153e+00 -9.232891948531860e-05
1.604993634344851e+01 3.141279174829870e+00 -9.491373023206376e-05
1.614112916358174e+01 3.141270398779072e+00 -9.757090450378649e-05
1.623232198371497e+01 3.141261377036779e+00 -1.003024681657691e-04
1.632351480384820e+01 3.141252102724690e+00 -1.031105037987311e-04
1.641470762398143e+01 3.141242568771944e+00 -1.059971522866170e-04
1.650590044411466e+01 3.141232767909724e+00 -1.089646144487961e-04
1.659709326424789e+01 3.141222692665720e+00 -1.120151527180282e-04
1.668828608438112e+01 3.141212335358428e+00 -1.151510928652188e-04
1.677947890451435e+01 3.141201688091299e+00 -1.183748257727467e-04
1.687067172464758e+01 3.141190742746708e+00 -1.216888092572817e-04
1.696186454478081e+01 3.141179490979776e+00 -1.250955699436698e-04
1.705305736491404e+01 3.141167924212004e+00 -1.285977051912111e-04
1.714425018504727e+01 3.141156033624731e+00 -1.321978850738864e-04
1.723544300518050e+01 3.141143810152411e+00 -1.358988544160723e-04
1.732663582531373e+01 3.141131244475706e+00 -1.397034348851718e-04
1.741782864544696e+01 3.141118327014371e+00 -1.436145271429059e-04
1.750902146558019e+01 3.141105047919961e+00 -1.476351130568372e-04
1.760021428571342e+01 3.141091397068314e+00 -1.517682579737388e-04
1.769140710584665e+01 3.141077364051835e+00 -1.560171130566641e-04
1.778259992597988e+01 3.141062938171566e+00 -1.603849176873741e-04
1.787379274611311e+01 3.141048108429020e+00 -1.648750019360227e-04
1.796498556624634e+01 3.141032863517804e+00 -1.694907891000327e-04
1.805617838637957e+01 3.141017191814990e+00 -1.742357983141327e-04
1.814737120651280e+01 3.141001081372264e+00 -1.791136472332683e-04
1.823856402664603e+01 3.140984519906808e+00 -1.841280547907374e-04
1.832975684677927e+01 3.140967494791940e+00 -1.892828440335172e-04
1.842094966691250e+01 3.140949993047486e+00 -1.945819450368919e-04
1.851214248704573e+01 3.140932001329884e+00 -2.000293979008295e-04
1.860333530717896e+01 3.140913505922008e+00 -2.056293558301632e-04
1.869452812731219e+01 3.140894492722714e+00 -2.113860883010467e-04
1.878572094744542e+01 3.140874947236088e+00 -2.173039843158077e-04
1.887691376757865e+01 3.140854854560393e+00 -2.233875557493077e-04
1.896810658771188e+01 3.140834199376711e+00 -2.296414407886914e-04
