# 3D harmonic oscillator
# eigenvalue = 1.882500e+00

#   r       u(r)
0.750000 2.925571e-01
1.000000 3.492919e-01
1.250000 3.788381e-01
1.500000 3.822253e-01
1.750000 3.633257e-01
2.000000 3.278537e-01
2.250000 2.822300e-01
2.500000 2.325526e-01
2.750000 1.838500e-01
3.000000 1.396885e-01
3.250000 1.021147e-01
3.500000 7.184978e-02
3.750000 4.862195e-02
4.000000 3.153322e-02
4.250000 1.938057e-02
4.500000 1.088623e-02
4.750000 4.818889e-03
