# Ising model in 2dimensions at kT = 1
#  time     energy
      0     -284.000
      1     -436.000
      2     -506.000
      3     -564.000
      4     -596.000
      5     -622.000
      6     -640.000
      7     -664.000
      8     -660.000
      9     -682.000
     10     -688.000
     11     -694.000
     12     -698.000
     13     -696.000
     14     -698.000
     15     -690.000
     16     -698.000
     17     -684.000
     18     -688.000
     19     -700.000
     20     -704.000
     21     -704.000
     22     -712.000
     23     -712.000
     24     -706.000
     25     -716.000
     26     -716.000
     27     -716.000
     28     -708.000
     29     -716.000
     30     -718.000
     31     -714.000
     32     -704.000
     33     -702.000
     34     -706.000
     35     -706.000
     36     -708.000
     37     -716.000
     38     -710.000
     39     -712.000
     40     -700.000
     41     -712.000
     42     -710.000
     43     -712.000
     44     -712.000
     45     -714.000
     46     -714.000
     47     -720.000
     48     -708.000
     49     -714.000
     50     -708.000
     51     -718.000
     52     -716.000
     53     -712.000
     54     -712.000
     55     -718.000
     56     -716.000
     57     -708.000
     58     -694.000
     59     -704.000
     60     -706.000
     61     -718.000
     62     -710.000
     63     -710.000
     64     -708.000
     65     -714.000
     66     -714.000
     67     -712.000
     68     -716.000
     69     -712.000
     70     -714.000
     71     -712.000
     72     -694.000
     73     -702.000
     74     -702.000
     75     -714.000
     76     -714.000
     77     -710.000
     78     -710.000
     79     -710.000
     80     -708.000
     81     -718.000
     82     -716.000
     83     -716.000
     84     -708.000
     85     -712.000
     86     -716.000
     87     -708.000
     88     -708.000
     89     -710.000
     90     -708.000
     91     -710.000
     92     -714.000
     93     -718.000
     94     -716.000
     95     -716.000
     96     -714.000
     97     -708.000
     98     -710.000
     99     -714.000
    100     -712.000
    110     -710.000
    120     -702.000
    130     -710.000
    140     -716.000
    150     -714.000
    160     -708.000
    170     -706.000
    180     -714.000
    190     -710.000
    200     -708.000
    210     -710.000
    220     -712.000
    230     -716.000
    240     -716.000
    250     -710.000
    260     -712.000
    270     -708.000
    280     -718.000
    290     -710.000
    300     -708.000
    310     -712.000
    320     -708.000
    330     -702.000
    340     -706.000
    350     -710.000
    360     -720.000
    370     -712.000
    380     -712.000
    390     -710.000
    400     -710.000
    410     -704.000
    420     -712.000
    430     -700.000
    440     -706.000
    450     -718.000
    460     -704.000
    470     -716.000
    480     -702.000
    490     -710.000
    500     -712.000
    510     -684.000
    520     -706.000
    530     -712.000
    540     -714.000
    550     -704.000
    560     -706.000
    570     -712.000
    580     -692.000
    590     -708.000
    600     -708.000
    610     -706.000
    620     -710.000
    630     -696.000
    640     -716.000
    650     -710.000
    660     -706.000
    670     -716.000
    680     -716.000
    690     -714.000
    700     -712.000
    710     -718.000
    720     -720.000
    730     -706.000
    740     -710.000
    750     -714.000
    760     -706.000
    770     -712.000
    780     -716.000
    790     -706.000
    800     -716.000
    810     -702.000
    820     -704.000
    830     -718.000
    840     -712.000
    850     -712.000
    860     -710.000
    870     -706.000
    880     -712.000
    890     -700.000
    900     -706.000
    910     -714.000
    920     -716.000
    930     -714.000
    940     -712.000
    950     -706.000
    960     -702.000
    970     -706.000
    980     -706.000
    990     -712.000
